source_file,row_type,branch,division,group,description,qty,total_amount
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,ESPRESSO,3313.0,500103.75
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO,3200.0,498631.33
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO SMALL,902.0,176816.53
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO MEDIUM,657.0,152807.36
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,AMERICANO LARGE,334.0,88443.43
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE SMALL,823.0,133384.23
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE MEDIUM,307.0,62723.78
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,BLACK COFFEE LARGE,86.0,19908.92
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,SINGLE ESPRESSO MACC,32.0,5156.93
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE ESPRESSO MAC,35.0,6595.68
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,TRIPLE ESPRESSO,197.0,7654.17
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,SINGLE LONGO,49.0,8386.67
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,DOUBLE LONGO,124.0,22702.34
rep_s_00191_SMRY-3.csv,group_total,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE,Total by Group: BLACK COFFEE,10059.0,1683315.12
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE SMALL,2306.0,450232.62
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,LATTE MEDIUM,2972.0,692532.04
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO SMALL,761.0,156288.19
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CAPPUCCINO MEDIUM,727.0,173038.73
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA SMALL,318.0,71402.39
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,MOCHA MEDIUM,309.0,83249.79
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA SMALL,2803.0,516236.82
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,WHITE MOCHA MEDIUM,1880.0,494665.9
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO SMALL,863.0,198199.66
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,CARAMEL MACHIATO MEDIUM,886.0,238232.93
rep_s_00191_SMRY-3.csv,item,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE,SIGNATURE HOT CHOCOLATE SMALL,571.0,126013.54
