source_file,row_type,year,branch,january,february,march,april,may,june,july,august,september,october,november,december,total_by_year
REP_S_00134_SMRY.csv,branch,2025,Stories - Bir Hasan,3355705.33,2842993.67,2266050.67,3459979.67,2125379.33,744638.33,3799740.25,3783897.91,3255935.75,3128528.54,2851287.1,2743087.7,34357224.24
REP_S_00134_SMRY.csv,branch,2025,Stories Ain El Mreisseh,12648546.67,9929973.33,9849926.67,13025923.33,7208975.0,2883403.33,11889329.16,11610097.92,11021123.75,10516783.81,9387782.61,9640996.43,119612862.02
REP_S_00134_SMRY.csv,branch,2025,Stories Airport,0.0,0.0,0.0,0.0,0.0,8428.83,2940003.01,6963426.45,7467197.62,8414672.7,7029720.14,6604828.86,39428277.6
REP_S_00134_SMRY.csv,branch,2025,Stories alay,0.0,0.0,0.0,0.0,0.0,0.0,4219344.76,8565845.07,5397295.51,4503168.48,4071091.3,3739480.5,30496225.61
REP_S_00134_SMRY.csv,branch,2025,Stories amioun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3582319.53,3115747.75,3067997.01,9766064.29
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,2615854.33,2139010.67,3162716.67,3391741.33,2033635.67,728978.33,2963696.71,3182363.97,2909965.47,2715152.86,2551353.16,2234759.77,30629228.94
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,4266517.33,3388117.33,4890198.33,5516881.67,2963980.33,1311240.0,6135003.02,6751770.29,5041150.76,4372225.54,4272667.88,5163712.03,54073464.51
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,4497376.67,3419106.67,5083386.67,5196906.67,3043400.0,1208190.0,5448609.92,5613038.75,4917258.26,5224336.34,4588470.28,4403458.27,52643538.48
REP_S_00134_SMRY.csv,branch,2025,Stories Centro Mall,3264533.33,2944806.67,2218466.67,3937166.67,1955286.67,924383.33,4201339.95,4307333.34,3232537.55,3059645.65,3497554.96,3998663.08,37541717.86
REP_S_00134_SMRY.csv,branch,2025,Stories Event Starco,0.0,0.0,0.0,0.0,0.0,0.0,918.92,3141.14,0.0,0.0,6606.61,586645.65,597312.31
REP_S_00134_SMRY.csv,branch,2025,Stories Faqra,1889910.0,1829960.0,1479756.67,2298003.33,1109666.67,352083.33,482036.04,1535977.47,0.0,0.0,0.0,0.0,10977393.51
REP_S_00134_SMRY.csv,branch,2025,Stories jbeil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2402935.0,10218320.22,7848030.44,6692888.56,27162174.22
REP_S_00134_SMRY.csv,branch,2025,Stories kaslik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237539.34,1583014.42,2820553.76
REP_S_00134_SMRY.csv,branch,2025,Stories Khaldeh,7468155.33,6108429.33,6420841.0,8455732.0,4487117.67,2262395.0,9464291.92,10661995.53,7859844.17,7348415.03,6744352.33,6874042.67,84155611.99
REP_S_00134_SMRY.csv,branch,2025,Stories LAU,1832006.33,1863050.33,1859610.67,2358631.33,1206958.0,398961.67,1050186.19,1683288.29,627849.85,1369579.58,1173966.97,619603.6,16043692.82
REP_S_00134_SMRY.csv,branch,2025,Stories Le Mall,3881015.0,3772586.67,4220770.0,4428620.0,2163876.67,967783.33,4986426.44,5452825.84,4201888.9,3807124.33,3984058.87,5003540.55,46870516.59
REP_S_00134_SMRY.csv,branch,2025,Stories Mansourieh,0.0,0.0,0.0,0.0,0.0,0.0,193405.41,5928212.63,5813335.75,5978077.49,4888906.92,4198633.64,27000571.83
REP_S_00134_SMRY.csv,branch,2025,Stories Ramlet El Bayda,0.0,1570806.67,3588563.33,6011885.0,3542743.33,1445760.0,7427539.62,7668109.92,6585103.32,6435858.57,5863675.69,5944644.46,56084689.92
REP_S_00134_SMRY.csv,branch,2025,Stories raouche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740370.88,2815825.84,4556196.71
REP_S_00134_SMRY.csv,branch,2025,Stories Saida,7263332.33,5121351.33,4684910.67,6361154.33,3010781.67,1323360.0,5939826.44,5925560.98,4245091.9,3639435.44,3665840.85,3825643.86,55006289.81
REP_S_00134_SMRY.csv,branch,2025,Stories sin el fil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2624897.9,4122138.15,3551489.5,10298525.55
REP_S_00134_SMRY.csv,branch,2025,Stories Sour 2,0.0,0.0,0.0,0.0,0.0,0.0,4504179.49,5532578.53,3970129.99,3313013.33,2948339.91,3173568.29,23441809.54
REP_S_00134_SMRY.csv,branch,2025,Stories Verdun,1747977.87,1387090.33,1436257.67,2105139.33,1195236.33,449746.67,3417793.41,3481408.42,2989974.79,2764180.79,2465933.34,1695655.86,25136394.81
REP_S_00134_SMRY.csv,branch,2025,Stories Zalka,10449006.67,8417640.0,10840106.67,11182530.0,6433973.33,2504900.0,10265530.04,10774439.35,9882169.98,9775939.95,8876666.37,8566291.9,107969194.27
REP_S_00134_SMRY.csv,branch,2025,Stories.,2190006.67,2527096.67,2385366.67,3555273.33,2024430.0,923133.33,300556.67,0.0,0.0,0.0,0.0,0.0,13905863.33
REP_S_00134_SMRY.csv,grand_total,2025,Total,67369943.87,57262019.67,64386929.0,81285568.0,44505440.67,18437385.5,89629757.34,109425311.8,91820788.32,102791676.1,96932101.85,96728472.42,920575394.53
REP_S_00134_SMRY.csv,branch,2026,Stories - Bir Hasan,1792619.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792619.23
REP_S_00134_SMRY.csv,branch,2026,Stories Ain El Mreisseh,6348294.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6348294.91
REP_S_00134_SMRY.csv,branch,2026,Stories Airport,4684588.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4684588.61
REP_S_00134_SMRY.csv,branch,2026,Stories alay,2173788.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2173788.6
REP_S_00134_SMRY.csv,branch,2026,Stories amioun,1993321.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993321.33
REP_S_00134_SMRY.csv,branch,2026,Stories Antelias,1429394.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429394.6
REP_S_00134_SMRY.csv,branch,2026,Stories Batroun,2839402.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839402.11
REP_S_00134_SMRY.csv,branch,2026,Stories Bayada,2688382.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688382.59
REP_S_00134_SMRY.csv,branch,2026,Stories Centro Mall,2236126.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236126.13
REP_S_00134_SMRY.csv,branch,2026,Stories Event Starco,37549.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37549.55
REP_S_00134_SMRY.csv,branch,2026,Stories jbeil,4189610.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4189610.42
REP_S_00134_SMRY.csv,branch,2026,Stories kaslik,1034753.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034753.16
REP_S_00134_SMRY.csv,branch,2026,Stories Khaldeh,4657413.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4657413.53
REP_S_00134_SMRY.csv,branch,2026,Stories LAU,735243.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735243.25
REP_S_00134_SMRY.csv,branch,2026,Stories Le Mall,2941828.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2941828.23
REP_S_00134_SMRY.csv,branch,2026,Stories Mansourieh,2786703.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2786703.91
REP_S_00134_SMRY.csv,branch,2026,Stories Ramlet El Bayda,3913985.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3913985.6
REP_S_00134_SMRY.csv,branch,2026,Stories raouche,1896890.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1896890.4
REP_S_00134_SMRY.csv,branch,2026,Stories Saida,2433043.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2433043.85
REP_S_00134_SMRY.csv,branch,2026,Stories sin el fil,2455657.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2455657.06
REP_S_00134_SMRY.csv,branch,2026,Stories Sour 2,2434786.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2434786.67
REP_S_00134_SMRY.csv,branch,2026,Stories Verdun,1069784.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069784.99
REP_S_00134_SMRY.csv,branch,2026,Stories Zalka,5752503.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5752503.31
