branch,product_desc,category,division,department,qty,true_revenue,total_cost,total_profit,record_count,profit_per_unit,profit_margin_pct,branch_qty_benchmark_median,branch_ppu_benchmark_median,branch_popularity_index,branch_margin_index,branch_quadrant,branch_recommended_action,branch_profit_contribution_pct
Stories - Bir Hasan,MANGO YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,2650.75,871644.59,172422.83,699221.76,1,263.78,80.22,115.0,154.84,23.05,1.7,star,"Keep quality high, feature prominently, and bundle for upsell.",3.14
Stories - Bir Hasan,ORIGINAL YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,2213.1,756699.76,169541.42,587158.34,1,265.31,77.59,115.0,154.84,19.24,1.71,star,"Keep quality high, feature prominently, and bundle for upsell.",2.64
Stories - Bir Hasan,CLASSIC CINNAMON ROLL LARGE,FOOD,CINNAMON ROLLS,Toters,2400.0,680733.93,120667.12,560066.81,2,233.36,82.27,115.0,154.84,20.87,1.51,star,"Keep quality high, feature prominently, and bundle for upsell.",2.52
Stories - Bir Hasan,LATTE MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,2972.0,692532.04,151743.61,540788.43,2,181.96,78.09,115.0,154.84,25.84,1.18,star,"Keep quality high, feature prominently, and bundle for upsell.",2.43
Stories - Bir Hasan,ICED LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,2605.0,621121.77,106801.39,514320.38,2,197.44,82.81,115.0,154.84,22.65,1.28,star,"Keep quality high, feature prominently, and bundle for upsell.",2.31
Stories - Bir Hasan,WATER,BEVERAGES,GRAB&GO BEVERAGES,Toters,14487.0,544524.16,66399.96,478124.2,2,33.0,87.81,115.0,154.84,125.97,0.21,plowhorse,High demand but low unit margin: optimize cost/price and portions.,2.15
Stories - Bir Hasan,CARAMEL FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,2287.0,634455.13,162411.88,472043.25,2,206.4,74.4,115.0,154.84,19.89,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",2.12
Stories - Bir Hasan,ESPRESSO,BEVERAGES,HOT BAR SECTION,Toters,3313.0,500103.75,39079.07,461024.68,2,139.16,92.19,115.0,154.84,28.81,0.9,plowhorse,High demand but low unit margin: optimize cost/price and portions.,2.07
Stories - Bir Hasan,ICED WHITE MOCHA MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,1888.0,515809.14,83868.72,431940.42,2,228.78,83.74,115.0,154.84,16.42,1.48,star,"Keep quality high, feature prominently, and bundle for upsell.",1.94
Stories - Bir Hasan,DOUBLE ESPRESSO,BEVERAGES,HOT BAR SECTION,Toters,3200.0,498631.33,67157.94,431473.39,2,134.84,86.53,115.0,154.84,27.83,0.87,plowhorse,High demand but low unit margin: optimize cost/price and portions.,1.94
Stories - Bir Hasan,MANGO YOGHURT COMBO MEDIUM,FOOD,MEDIUM,TAKE AWAY,1242.7,510697.47,106221.12,404476.35,1,325.48,79.2,115.0,154.84,10.81,2.1,star,"Keep quality high, feature prominently, and bundle for upsell.",1.82
Stories - Bir Hasan,WHITE MOCHA SMALL,BEVERAGES,HOT BAR SECTION,Toters,2803.0,516236.82,134535.48,381701.34,2,136.18,73.94,115.0,154.84,24.37,0.88,plowhorse,High demand but low unit margin: optimize cost/price and portions.,1.71
Stories - Bir Hasan,ICED CARAMEL MACCHIATO MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,1642.0,454097.9,83333.59,370764.31,2,225.8,81.65,115.0,154.84,14.28,1.46,star,"Keep quality high, feature prominently, and bundle for upsell.",1.67
Stories - Bir Hasan,WHITE MOCHA MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,1880.0,494665.9,124761.02,369904.88,2,196.76,74.78,115.0,154.84,16.35,1.27,star,"Keep quality high, feature prominently, and bundle for upsell.",1.66
Stories - Bir Hasan,LATTE SMALL,BEVERAGES,HOT BAR SECTION,Toters,2306.0,450232.62,80342.1,369890.52,2,160.4,82.16,115.0,154.84,20.05,1.04,star,"Keep quality high, feature prominently, and bundle for upsell.",1.66
Stories - Bir Hasan,BLUEBERRY YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,Toters,1332.8,445925.34,86088.93,359836.41,2,269.99,80.69,115.0,154.84,11.59,1.74,star,"Keep quality high, feature prominently, and bundle for upsell.",1.62
Stories - Bir Hasan,TURKEY & CHEESE SUB,FOOD,SANDWICHES,Toters,1272.5,478477.96,127664.2,350813.76,2,275.69,73.32,115.0,154.84,11.07,1.78,star,"Keep quality high, feature prominently, and bundle for upsell.",1.58
Stories - Bir Hasan,ORIGINAL YOGHURT COMBO MEDIUM,FOOD,MEDIUM,TAKE AWAY,1009.5,418010.2,101849.62,316160.58,1,313.19,75.63,115.0,154.84,8.78,2.02,star,"Keep quality high, feature prominently, and bundle for upsell.",1.42
Stories - Bir Hasan,ICED SPANISH LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,1249.0,377626.18,69609.15,308017.03,2,246.61,81.57,115.0,154.84,10.86,1.59,star,"Keep quality high, feature prominently, and bundle for upsell.",1.38
Stories - Bir Hasan,ICED MATCHA LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,1651.0,402051.28,106550.77,295500.51,2,178.98,73.5,115.0,154.84,14.36,1.16,star,"Keep quality high, feature prominently, and bundle for upsell.",1.33
Stories - Bir Hasan,CARAMEL FRAPP SMALL,BEVERAGES,COLD BAR SECTION,Toters,1640.0,384807.72,92452.24,292355.48,2,178.27,75.97,115.0,154.84,14.26,1.15,star,"Keep quality high, feature prominently, and bundle for upsell.",1.31
Stories - Bir Hasan,ICED LATTE SMALL,BEVERAGES,COLD BAR SECTION,Toters,1888.0,295020.43,46538.96,248481.47,2,131.61,84.23,115.0,154.84,16.42,0.85,plowhorse,High demand but low unit margin: optimize cost/price and portions.,1.12
Stories - Bir Hasan,BLUEBERRY YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,Toters,684.1,286197.39,58059.83,228137.56,2,333.49,79.71,115.0,154.84,5.95,2.15,star,"Keep quality high, feature prominently, and bundle for upsell.",1.02
Stories - Bir Hasan,ICED WHITE MOCHA SMALL,BEVERAGES,COLD BAR SECTION,Toters,1249.0,256086.85,33638.22,222448.63,2,178.1,86.86,115.0,154.84,10.86,1.15,star,"Keep quality high, feature prominently, and bundle for upsell.",1.0
Stories - Bir Hasan,CARAMEL FRAPP LARGE,BEVERAGES,COLD BAR SECTION,Toters,846.0,276544.61,60605.73,215938.88,2,255.25,78.08,115.0,154.84,7.36,1.65,star,"Keep quality high, feature prominently, and bundle for upsell.",0.97
Stories - Bir Hasan,CHOCOLATE YOGHURT COMBO SMALL,FOOD,MEDIUM,TAKE AWAY,759.1,253760.09,43568.21,210191.88,1,276.9,82.83,115.0,154.84,6.6,1.79,star,"Keep quality high, feature prominently, and bundle for upsell.",0.94
Stories - Bir Hasan,FLAT WHITE,BEVERAGES,HOT BAR SECTION,Toters,2179.0,283608.32,80597.86,203010.46,2,93.17,71.58,115.0,154.84,18.95,0.6,plowhorse,High demand but low unit margin: optimize cost/price and portions.,0.91
Stories - Bir Hasan,MANGO YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,Toters,688.5,241832.28,44784.73,197047.55,1,286.2,81.48,115.0,154.84,5.99,1.85,star,"Keep quality high, feature prominently, and bundle for upsell.",0.89
Stories - Bir Hasan,DOUBLE SHOT SHAKEN MEDIUM,BEVERAGES,COLD BAR SECTION,Toters,1013.0,243831.83,51923.91,191907.92,2,189.45,78.71,115.0,154.84,8.81,1.22,star,"Keep quality high, feature prominently, and bundle for upsell.",0.86
Stories - Bir Hasan,ORIGINAL YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,Toters,645.0,234499.55,49412.23,185087.32,1,286.96,78.93,115.0,154.84,5.61,1.85,star,"Keep quality high, feature prominently, and bundle for upsell.",0.83
Stories - Bir Hasan,CARAMEL MACHIATO MEDIUM,BEVERAGES,HOT BAR SECTION,Toters,886.0,238232.92,55719.51,182513.41,2,206.0,76.61,115.0,154.84,7.7,1.33,star,"Keep quality high, feature prominently, and bundle for upsell.",0.82
Stories - Bir Hasan,BROWN TURKEY & CHEESE SUB,FOOD,SANDWICHES,Toters,611.0,247360.49,72381.61,174978.88,2,286.38,70.74,115.0,154.84,5.31,1.85,star,"Keep quality high, feature prominently, and bundle for upsell.",0.79
