product_desc,category,division,department,qty,true_revenue,total_cost,total_profit,record_count,profit_per_unit,profit_margin_pct,qty_benchmark_median,profit_per_unit_benchmark_median,popularity_index,margin_index,quadrant,recommended_action,profit_contribution_pct,qty_share_pct,revenue_share_pct
MANGO YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,88153.85,29414807.09,5734126.75,23680680.34,31,268.63,80.51,400.5,156.68,220.11,1.71,star,"Keep quality high, feature prominently, and bundle for upsell.",3.96,1.35,3.5
ORIGINAL YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,90531.2,30608806.07,6935424.56,23673381.51,32,261.49,77.34,400.5,156.68,226.05,1.67,star,"Keep quality high, feature prominently, and bundle for upsell.",3.96,1.38,3.64
CLASSIC CINNAMON ROLL LARGE,FOOD,CINNAMON ROLLS,TAKE AWAY,81170.0,24084228.31,4081062.6,20003165.71,33,246.44,83.06,400.5,156.68,202.67,1.57,star,"Keep quality high, feature prominently, and bundle for upsell.",3.34,1.24,2.87
BLUEBERRY YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,62841.4,21205676.39,4059085.41,17146590.98,31,272.86,80.86,400.5,156.68,156.91,1.74,star,"Keep quality high, feature prominently, and bundle for upsell.",2.87,0.96,2.52
ICED LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,77395.0,17997782.17,3173087.85,14824694.32,31,191.55,82.37,400.5,156.68,193.25,1.22,star,"Keep quality high, feature prominently, and bundle for upsell.",2.48,1.18,2.14
CHOCOLATE YOGHURT COMBO SMALL,FOOD,FROZEN YOGHURT,TAKE AWAY,51959.25,17164951.72,2982178.29,14182773.43,29,272.96,82.63,400.5,156.68,129.74,1.74,star,"Keep quality high, feature prominently, and bundle for upsell.",2.37,0.79,2.04
WATER,BEVERAGES,GRAB&GO BEVERAGES,TAKE AWAY,402543.0,15805281.42,1845022.35,13960259.07,33,34.68,88.33,400.5,156.68,1005.1,0.22,plowhorse,High demand but low unit margin: optimize cost/price and portions.,2.33,6.16,1.88
LATTE MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,77511.0,17746357.6,3957536.75,13788820.85,33,177.9,77.7,400.5,156.68,193.54,1.14,star,"Keep quality high, feature prominently, and bundle for upsell.",2.3,1.19,2.11
CARAMEL FRAPP MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,68738.0,18478602.33,4881446.42,13597155.91,34,197.81,73.58,400.5,156.68,171.63,1.26,star,"Keep quality high, feature prominently, and bundle for upsell.",2.27,1.05,2.2
LATTE SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,77148.0,14943615.9,2687871.77,12255744.13,32,158.86,82.01,400.5,156.68,192.63,1.01,star,"Keep quality high, feature prominently, and bundle for upsell.",2.05,1.18,1.78
DOUBLE ESPRESSO,BEVERAGES,HOT BAR SECTION,TAKE AWAY,67772.0,12627142.78,1422321.16,11204821.62,35,165.33,88.74,400.5,156.68,169.22,1.06,star,"Keep quality high, feature prominently, and bundle for upsell.",1.87,1.04,1.5
MANGO YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,34532.65,13752786.38,2951715.55,10801070.83,30,312.78,78.54,400.5,156.68,86.22,2.0,star,"Keep quality high, feature prominently, and bundle for upsell.",1.81,0.53,1.64
ICED SPANISH LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,40231.0,11816752.48,2242150.16,9574602.32,29,237.99,81.03,400.5,156.68,100.45,1.52,star,"Keep quality high, feature prominently, and bundle for upsell.",1.6,0.62,1.41
ORIGINAL YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,30704.65,12278709.68,3097827.54,9180882.14,31,299.01,74.77,400.5,156.68,76.67,1.91,star,"Keep quality high, feature prominently, and bundle for upsell.",1.53,0.47,1.46
ICED WHITE MOCHA MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,37454.5,10027239.71,1663803.45,8363436.26,30,223.3,83.41,400.5,156.68,93.52,1.43,star,"Keep quality high, feature prominently, and bundle for upsell.",1.4,0.57,1.19
ESPRESSO,BEVERAGES,HOT BAR SECTION,TAKE AWAY,53449.0,8425556.1,630467.1,7795089.0,33,145.84,92.52,400.5,156.68,133.46,0.93,plowhorse,High demand but low unit margin: optimize cost/price and portions.,1.3,0.82,1.0
BLUEBERRY YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,24281.55,9722101.56,2060784.42,7661317.14,31,315.52,78.8,400.5,156.68,60.63,2.01,star,"Keep quality high, feature prominently, and bundle for upsell.",1.28,0.37,1.16
BLACK COFFEE SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,66756.5,10902221.38,3455766.59,7446454.79,34,111.55,68.3,400.5,156.68,166.68,0.71,plowhorse,High demand but low unit margin: optimize cost/price and portions.,1.24,1.02,1.3
WHITE MOCHA MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,37317.0,9757419.44,2476439.84,7280979.6,33,195.11,74.62,400.5,156.68,93.18,1.25,star,"Keep quality high, feature prominently, and bundle for upsell.",1.22,0.57,1.16
ICED LATTE SMALL,BEVERAGES,COLD BAR SECTION,TAKE AWAY,38299.0,7461631.79,944065.39,6517566.4,31,170.18,87.35,400.5,156.68,95.63,1.09,star,"Keep quality high, feature prominently, and bundle for upsell.",1.09,0.59,0.89
CAPPUCCINO SMALL,BEVERAGES,HOT BAR SECTION,TAKE AWAY,37546.0,7416026.66,1182106.13,6233920.53,35,166.03,84.06,400.5,156.68,93.75,1.06,star,"Keep quality high, feature prominently, and bundle for upsell.",1.04,0.57,0.88
BROWN TURKEY & CHEESE SUB,FOOD,SANDWICHES,TAKE AWAY,22242.0,8786760.99,2634880.02,6151880.97,27,276.59,70.01,400.5,156.68,55.54,1.77,star,"Keep quality high, feature prominently, and bundle for upsell.",1.03,0.34,1.05
ICED MATCHA LATTE MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,35649.0,8334518.7,2300683.62,6033835.08,31,169.26,72.4,400.5,156.68,89.01,1.08,star,"Keep quality high, feature prominently, and bundle for upsell.",1.01,0.55,0.99
CAPPUCCINO MEDIUM,BEVERAGES,HOT BAR SECTION,TAKE AWAY,32619.0,7475963.91,1446497.48,6029466.43,34,184.85,80.65,400.5,156.68,81.45,1.18,star,"Keep quality high, feature prominently, and bundle for upsell.",1.01,0.5,0.89
ICED CARAMEL MACCHIATO MEDIUM,BEVERAGES,COLD BAR SECTION,TAKE AWAY,26951.0,7235789.37,1367797.6,5867991.77,30,217.73,81.1,400.5,156.68,67.29,1.39,star,"Keep quality high, feature prominently, and bundle for upsell.",0.98,0.41,0.86
CHOCOLATE YOGHURT COMBO MEDIUM,FOOD,FROZEN YOGHURT,TAKE AWAY,17667.7,7047497.89,1329902.2,5717595.69,29,323.62,81.13,400.5,156.68,44.11,2.07,star,"Keep quality high, feature prominently, and bundle for upsell.",0.96,0.27,0.84
